,subject,sessions,agent,loglik,logpostprob,BIC,AIC,params,params,params,params,params,params,params,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges
,,,,,,,,G_td,G_mb,alpQ,lbd,alpT,bias,pers,G_td,G_mb,alpQ,lbd,alpT,bias,pers
0,1,1-4,MF_MB,-43.48396696275376,-51.28500180578622,119.20412522742416,100.96793392550752,5.7831978930852745,1.5696931749685175,0.060052294679741304,0.5306594833050253,0.43923206281916105,0.4540917987635363,-0.37376023099740063,pos,pos,unit,unit,unit,unc,unc
1,2,1-4,MF_MB,-40.64894342334027,-46.93112280402786,113.53407814859719,95.29788684668054,2.490511484259269,1.8269795930768666,0.7322723798874198,0.8314066742950343,0.46374927893125006,0.37830906645058443,-0.3269247710069224,pos,pos,unit,unit,unit,unc,unc
2,3,1-4,MF_MB,-63.55618645788034,-70.05660332813396,159.3485642176773,141.11237291576066,1.5827960652665665,0.4218872077440024,0.6065708107070881,0.7050614075965321,0.6411364340932526,-0.022280421639188534,-0.03281912726152717,pos,pos,unit,unit,unit,unc,unc
3,4,1-4,MF_MB,-61.70817940365616,-69.5100910529793,155.65255010922897,137.41635880731232,1.165840372406461,0.7067552315455029,0.058683431597597,0.4107857758036956,0.5264760245683403,0.7087401177748068,-1.5070225125421184,pos,pos,unit,unit,unit,unc,unc
4,5,1-4,MF_MB,-33.553404455617375,-39.69040051545841,99.34300021315138,81.10680891123475,3.285285638568632,1.644249145360794,0.6188746381219122,0.7584036675042555,0.5237804117042737,0.4005513312373219,1.2243015112556475,pos,pos,unit,unit,unit,unc,unc
5,6,1-4,MF_MB,-42.67599733018448,-48.72568582830793,117.58818596228559,99.35199466036896,2.0298637658470127,1.0835410729182682,0.44501649126748116,0.6634303218812359,0.47559842627074655,-1.0674045148013338,1.3590205825751682,pos,pos,unit,unit,unit,unc,unc
6,7,1-4,MF_MB,-39.255249535403685,-47.355709968711295,110.746690372724,92.51049907080737,3.2067699250887602,2.1236093882534592,0.8669425698745545,0.8923847036935917,0.6864538325407484,0.8547644514939512,-2.194557296970562,pos,pos,unit,unit,unit,unc,unc
7,8,1-4,MF_MB,-40.33020710168011,-46.830618967763975,112.89660550527685,94.66041420336022,2.9385440832143632,1.536666965240307,0.7357188360110639,0.7902771073844397,0.2680339213151901,-0.06036755559659384,0.8233952062297512,pos,pos,unit,unit,unit,unc,unc
8,9,1-4,MF_MB,-60.468317227917645,-66.922172869902,153.17282575775192,134.9366344558353,1.9108699036577503,0.8119149369191883,0.37376201233771694,0.2364944628609423,0.2632384784474903,0.43603263787112817,-0.8119245369096317,pos,pos,unit,unit,unit,unc,unc
